replicate,test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass
84,02,random_forest,0.11426420421002625,0.10920599174107914,-0.00505821246894711,0.001202676942614901,0.001206106145242375,0.0013365910123929621,True,True
84,02,extra_trees,0.22403715511461575,0.2034705307107384,-0.020566624403877354,0.0011256862205720284,0.0011405066206250968,0.0013365910123929621,True,True
85,01,random_forest,0.08139202443403182,0.07178981547098007,-0.00960220896305175,0.0015108246306445668,0.0015187004274870768,0.0016242795254091961,True,True
85,01,extra_trees,0.11521258027775949,0.10613207871171415,-0.00908050156604534,0.0014827516639131402,0.0014903409216999132,0.0016242795254091961,True,True
85,02,random_forest,0.11426420421002625,0.1105875107567671,-0.003676693453259161,0.001202676942614901,0.0012051705164076354,0.0013365910123929621,True,True
85,02,extra_trees,0.22403715511461575,0.21932306846005423,-0.004714086654561522,0.0011256862205720284,0.0011291003964242425,0.0013365910123929621,True,True
86,01,random_forest,0.08139202443403182,0.07910379497840447,-0.002288229455627344,0.0015108246306445668,0.0015127051734307884,0.0016242795254091961,True,True
86,01,extra_trees,0.11521258027775949,0.11342813400989515,-0.001784446267864337,0.0014827516639131402,0.0014842461234263308,0.0016242795254091961,True,True
86,02,random_forest,0.11426420421002625,0.10144953611319041,-0.012814668096835846,0.001202676942614901,0.0012113457586321538,0.0013365910123929621,True,True
86,02,extra_trees,0.22403715511461575,0.20649378566358,-0.01754336945103574,0.0011256862205720284,0.0011383401469180871,0.0013365910123929621,True,True
87,01,random_forest,0.08139202443403182,0.06857079218846052,-0.012821232245571301,0.0015108246306445668,0.0015213315669274521,0.0016242795254091961,True,True
87,01,extra_trees,0.11521258027775949,0.11114787255474845,-0.004064707723011041,0.0014827516639131402,0.0014861536370395383,0.0016242795254091961,True,True
87,02,random_forest,0.11426420421002625,0.10423437931123414,-0.010029824898792117,0.001202676942614901,0.0012094671630723994,0.0013365910123929621,True,True
87,02,extra_trees,0.22403715511461575,0.21644119917672255,-0.007595955937893195,0.0011256862205720284,0.0011311825139989258,0.0013365910123929621,True,True
88,01,random_forest,0.08139202443403182,0.07128024980575054,-0.010111774628281278,0.0015108246306445668,0.0015191172357841014,0.0016242795254091961,True,True
88,01,extra_trees,0.11521258027775949,0.11211580039383529,-0.0030967798839242056,0.0014827516639131402,0.001485344232829796,0.0016242795254091961,True,True
88,02,random_forest,0.11426420421002625,0.11644437920901651,0.0021801749989902586,0.001202676942614901,0.0012011958792447635,0.0013365910123929621,True,True
88,02,extra_trees,0.22403715511461575,0.21994408358780426,-0.004093071526811487,0.0011256862205720284,0.0011286512170646822,0.0013365910123929621,True,True
