replicate,test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass
30,1,extra_trees,0.1152125802777594,0.1073926358453407,-0.0078199444324187,0.0014827516639131,0.0014892896910664,0.0016242795254091,True,True
30,2,random_forest,0.1142642042100262,0.1191740455275907,0.0049098413175644,0.0012026769426149,0.0011993389501419,0.0013365910123929,True,True
30,2,extra_trees,0.2240371551146155,0.2092633317690828,-0.0147738233455326,0.001125686220572,0.0011363518567188,0.0013365910123929,True,True
31,1,random_forest,0.0813920244340318,0.0811702050460042,-0.0002218193880275,0.0015108246306445,0.0015110070316116,0.0016242795254091,True,True
31,1,extra_trees,0.1152125802777594,0.1141712594181307,-0.0010413208596287,0.0014827516639131,0.0014836239447425,0.0016242795254091,True,True
31,2,random_forest,0.1142642042100262,0.1144516852614422,0.0001874810514159,0.0012026769426149,0.0012025496523599,0.0013365910123929,True,True
31,2,extra_trees,0.2240371551146155,0.1956733266323588,-0.0283638284822567,0.001125686220572,0.0011460752193624,0.0013365910123929,True,True
32,1,random_forest,0.0813920244340318,0.0846332390316086,0.0032412145975768,0.0015108246306445,0.0015081568799967,0.0016242795254091,True,True
32,1,extra_trees,0.1152125802777594,0.1226878905428014,0.007475310265042,0.0014827516639131,0.0014764747100712,0.0016242795254091,True,True
32,2,random_forest,0.1142642042100262,0.1138053434268555,-0.0004588607831707,0.0012026769426149,0.0012029884293083,0.0013365910123929,True,True
32,2,extra_trees,0.2240371551146155,0.2167130237505846,-0.0073241313640308,0.001125686220572,0.0011309862875789,0.0013365910123929,True,True
33,1,random_forest,0.0813920244340318,0.0754270589577823,-0.0059649654762494,0.0015108246306445,0.0015157219505374,0.0016242795254091,True,True
33,1,extra_trees,0.1152125802777594,0.1046447486350269,-0.0105678316427325,0.0014827516639131,0.0014915803148553,0.0016242795254091,True,True
33,2,random_forest,0.1142642042100262,0.1111905111525244,-0.0030736930575018,0.0012026769426149,0.0012047619087462,0.0013365910123929,True,True
33,2,extra_trees,0.2240371551146155,0.2073204301943539,-0.0167167249202615,0.001125686220572,0.0011377470527226,0.0013365910123929,True,True
34,1,random_forest,0.0813920244340318,0.0763917223168335,-0.0050003021171982,0.0015108246306445,0.0015149310215836,0.0016242795254091,True,True
34,1,extra_trees,0.1152125802777594,0.1109036660452487,-0.0043089142325107,0.0014827516639131,0.0014863577786826,0.0016242795254091,True,True
34,2,random_forest,0.1142642042100262,0.1216936428615753,0.0074294386515491,0.0012026769426149,0.0011976223707773,0.0013365910123929,True,True
34,2,extra_trees,0.2240371551146155,0.1928404615806785,-0.0311966935339369,0.001125686220572,0.0011480917027396,0.0013365910123929,True,True
