test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,replicate,injected_scale_target_sd
2,random_forest,0.1787008565856944,0.1649758476758576,-0.0137250089098368,0.0012649757918193,0.001275501718469,0.0014487735201932,True,True,17,0.3
2,extra_trees,0.2432575679373539,0.2410614709558118,-0.0021960969815421,0.0012142428998113,0.0012160035142653,0.0014487735201932,True,True,17,0.3
1,random_forest,-0.0765527234354033,-0.0380691738708129,0.0384835495645903,0.0017726000254656,0.0017406291268419,0.0017530171623279,False,False,18,0.3
1,extra_trees,0.0281186848040713,0.078264029054096,0.0501453442500247,0.0016842234721221,0.001640198337488,0.0017530171623279,True,True,18,0.3
2,random_forest,-0.0093873441647087,0.0418850852028455,0.0512724293675542,0.0013175677388613,0.001283668325825,0.0013690256003314,False,True,18,0.3
2,extra_trees,0.1386638822204052,0.1534630699490752,0.0147991877286699,0.0012171114669091,0.0012066101638957,0.0013690256003314,True,True,18,0.3
1,random_forest,0.0894733251029108,0.0560000519283143,-0.0334732731745964,0.0015207566545351,0.0015484577997897,0.0016449419440411,True,True,19,0.3
1,extra_trees,0.1320119319852879,0.1298074147388741,-0.0022045172464137,0.0014848078889798,0.0014866922517847,0.0016449419440411,True,True,19,0.3
2,random_forest,0.0913838269609799,0.0847934412439704,-0.0065903857170094,0.0012749769035081,0.0012795923882363,0.0013981886711198,True,True,19,0.3
2,extra_trees,0.2230999791210474,0.2166368681425433,-0.006463110978504,0.0011789480070697,0.0011838417449845,0.0013981886711198,True,True,19,0.3
1,random_forest,0.112069189471073,0.1804298328414895,0.0683606433704164,0.0016047547443325,0.0015417436773276,0.0017481751340696,True,True,20,0.3
1,extra_trees,0.0769651386704201,0.2047988926141419,0.1278337539437218,0.0016361689898613,0.0015186496466719,0.0017481751340696,True,True,20,0.3
2,random_forest,0.0715880932357012,0.1007602430700664,0.0291721498343652,0.0013161711501569,0.0012953280376431,0.0014218752242638,True,True,20,0.3
2,extra_trees,0.1536716117063322,0.1994406094000211,0.0457689976936889,0.0012566417099529,0.0012221901923535,0.0014218752242638,True,True,20,0.3
1,random_forest,-0.0959708967279955,-0.0838086092837322,0.0121622874442632,0.0017610966492202,0.0017512977034779,0.0017272405589059,False,False,21,0.3
1,extra_trees,0.026149840071092,0.0466328027724908,0.0204829627013988,0.0016600827998731,0.0016425317847866,0.0017272405589059,True,True,21,0.3
2,random_forest,0.0092265743363002,0.04668852426327,0.0374619499269698,0.001294155559573,0.0012694532684432,0.0013579100818881,True,True,21,0.3
2,extra_trees,0.1299707151198371,0.174201225676673,0.0442305105568359,0.0012127359256484,0.0011815073416157,0.0013579100818881,True,True,21,0.3
1,random_forest,-0.0530364313467379,-0.0504148895458993,0.0026215418008386,0.001633564193167,0.0016315295411295,0.0016396017203478,False,False,22,0.3
1,extra_trees,0.0634199058857055,0.0633225503766928,-9.735550901268653e-05,0.0015405896245008,0.0015406696929277,0.0016396017203478,True,True,22,0.3
2,random_forest,0.0596683114108392,0.0542653740371089,-0.0054029373737303,0.0012668384317334,0.0012704727051387,0.0013641406020838,True,True,22,0.3
2,extra_trees,0.1565813446513991,0.1875002903458258,0.0309189456944266,0.0011997818713565,0.001177585098383,0.0013641406020838,True,True,22,0.3
1,random_forest,0.0647190079965503,0.125482160957823,0.0607631529612726,0.00165773277207,0.0016029788994443,0.0017591722242749,True,True,23,0.3
1,extra_trees,0.0703345886343421,0.1727080376475398,0.1023734490131976,0.0016527486295322,0.001559096051269,0.0017591722242749,True,True,23,0.3
2,random_forest,0.024724641465542,0.0939456003136322,0.0692209588480901,0.0013302488420105,0.0012821723309002,0.001403877514284,True,True,23,0.3
2,extra_trees,0.1462188660664397,0.2150668626071329,0.0688479965406931,0.0012446365227186,0.0011933987973458,0.001403877514284,True,True,23,0.3
1,random_forest,0.0218537831922701,-0.0254618116660663,-0.0473155948583364,0.0015248491154777,0.0015612941350909,0.001588500943854,True,False,24,0.3
1,extra_trees,0.1004875599360948,0.085047183999807,-0.0154403759362877,0.001462273364587,0.0014747701254022,0.001588500943854,True,True,24,0.3
2,random_forest,0.0794267024225403,0.0702548598471767,-0.0091718425753636,0.0012632804359651,0.0012695579873085,0.001371054570457,True,True,24,0.3
2,extra_trees,0.2119158276033736,0.2163648009585507,0.004448973355177,0.0011688449003517,0.0011655409894828,0.001371054570457,True,True,24,0.3
1,random_forest,0.079530000758751,0.127180383936158,0.0476503831774069,0.0016275142532083,0.00158482834724,0.001740905446031,True,True,25,0.3
1,extra_trees,0.0850811959089583,0.169778129534792,0.0846969336258336,0.0016225992032511,0.0015456710275032,0.001740905446031,True,True,25,0.3
2,random_forest,0.0547889893880947,0.1076843885739735,0.0528953991858788,0.0013012800842866,0.0012643451375751,0.001394479112479,True,True,25,0.3
2,extra_trees,0.1666360730461281,0.2091571005271962,0.0425210274810681,0.0012218664662543,0.001190286497214,0.001394479112479,True,True,25,0.3
1,random_forest,-0.0400638622466085,-0.0039942425741199,0.0360696196724885,0.0017166614188828,0.0016866316841384,0.0017285678258333,False,False,26,0.3
1,extra_trees,0.0466239594005304,0.104512019500021,0.0578880600994906,0.0016435645296424,0.0015928853712634,0.0017285678258333,True,True,26,0.3
2,random_forest,0.0398126519434615,0.0732837889122784,0.0334711369688169,0.0012902575140582,0.001267569519643,0.0013741647991762,True,True,26,0.3
2,extra_trees,0.142796721100279,0.1829653056584355,0.0401685845581564,0.0012191027730897,0.0011901964668328,0.0013741647991762,True,True,26,0.3
1,random_forest,0.0704154147663885,0.1417857505508469,0.0713703357844584,0.0016539888572638,0.0015892271771781,0.0017598175040361,True,True,27,0.3
1,extra_trees,0.0646672258728635,0.1767180906327466,0.1120508647598831,0.0016590947874936,0.0015565476098681,0.0017598175040361,True,True,27,0.3
2,random_forest,0.0277916105181957,0.0984194433024371,0.0706278327842413,0.0013277254299696,0.0012785886938899,0.001402604907609,True,True,27,0.3
2,extra_trees,0.1489774901558865,0.2154239128887977,0.0664464227329111,0.0012422217096897,0.0011927409357276,0.001402604907609,True,True,27,0.3
1,random_forest,-0.0419545996860513,2.2071564591663595e-05,0.0419766712506429,0.0017218600554269,0.0016868196838423,0.0017322451885851,False,True,28,0.3
1,extra_trees,0.0408622241897775,0.1087850122826761,0.0679227880928985,0.0016520148661159,0.0015924459249608,0.0017322451885851,True,True,28,0.3
2,random_forest,0.0327281009176049,0.0717661820901877,0.0390380811725827,0.0012961514604885,0.0012697264350845,0.0013755371448274,True,True,28,0.3
2,extra_trees,0.1398506420139514,0.180237910070381,0.0403872680564295,0.0012222735193302,0.0011932333505564,0.0013755371448274,True,True,28,0.3
1,random_forest,-0.041267919178489,0.0064189236021502,0.0476868427806392,0.0017264530520347,0.001686456658908,0.0017358747100633,False,True,29,0.3
1,extra_trees,0.0460408077741356,0.1058631641139031,0.0598223563397675,0.0016524884298945,0.0015998362103368,0.0017358747100633,True,True,29,0.3
2,random_forest,0.042949237740709,0.0768114431261863,0.0338622053854773,0.0012838203822305,0.0012609038940206,0.0013685433699054,True,True,29,0.3
2,extra_trees,0.1438521391676614,0.1882555273185338,0.0444033881508723,0.0012142585427054,0.0011823510725586,0.0013685433699054,True,True,29,0.3
