split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
6,ridge,-0.007108559440853313,-0.016478923381984423,-0.00937036394113111,8.362083255506587,8.39096309776478,0.028879842258193733,513,188,18,6,0
6,random_forest,-0.08890260214444012,-0.11562320264266268,-0.026720600498222558,8.526728040950644,8.527393066418073,0.0006650254674287481,513,188,18,6,0
6,hist_gb,-0.11267126121038973,-0.1533649860087598,-0.04069372479837008,8.611736653071674,8.584098875700331,-0.027637777371342764,513,188,18,6,0
7,ridge,-0.04114304427769255,-0.042088217952783724,-0.000945173675091171,8.119910559860083,8.12093414186147,0.001023582001387524,466,235,18,6,0
7,random_forest,-0.1266634124099586,-0.15151157135983806,-0.024848158949879462,8.398938417521094,8.598319562752069,0.1993811452309746,466,235,18,6,0
7,hist_gb,-0.14904534566132077,-0.19342835408969172,-0.04438300842837095,8.50873820931816,8.867426492800904,0.35868828348274384,466,235,18,6,0
8,ridge,-0.02926117862994837,-0.02699348800422996,0.0022676906257184104,8.203146304602024,8.179809240869211,-0.023337063732812524,538,163,18,6,0
8,random_forest,-0.17097885416253056,-0.18924190617530368,-0.018263052012773118,8.554322792418228,8.748160474384804,0.19383768196657591,538,163,18,6,0
8,hist_gb,-0.15709481703828,-0.21087364694790067,-0.053778829909620685,8.517563132936576,8.825965377229993,0.30840224429341667,538,163,18,6,0
9,ridge,-0.007182522793648172,-0.022344976660194193,-0.015162453866546022,7.671005935929409,7.674002733236913,0.0029967973075040177,510,191,18,6,0
9,random_forest,-0.025268831884974308,-0.09514802371038744,-0.06987919182541313,7.627356410366303,7.903312788155376,0.2759563777890728,510,191,18,6,0
9,hist_gb,-0.024935971104366628,-0.1819716199519119,-0.15703564884754528,7.712529502116936,8.176387502747154,0.46385800063021776,510,191,18,6,0
10,ridge,-0.013727738809895085,-0.011483358346896955,0.00224438046299813,8.050212061086553,8.037733825607642,-0.012478235478910804,532,169,18,6,0
10,random_forest,-0.04563190345254009,-0.10596161387168102,-0.060329710419140925,8.155882067154801,8.537209528280554,0.38132746112575333,532,169,18,6,0
10,hist_gb,-0.040911776151461465,-0.13008344225935664,-0.08917166610789518,8.205462480848636,8.592575109212008,0.3871126283633721,532,169,18,6,0
11,ridge,-0.026945002117855,-0.025289489631173057,0.0016555124866819426,8.321150827015074,8.306618143550171,-0.014532683464903329,484,217,18,6,0
11,random_forest,-0.19012913488441407,-0.20971800474945979,-0.01958886986504571,8.96856588286773,9.099150971934755,0.13058508906702393,484,217,18,6,0
11,hist_gb,-0.19350278392234488,-0.2566979273687322,-0.06319514344638733,8.978568127643276,9.325858989737464,0.34729086209418725,484,217,18,6,0
12,ridge,-0.03634386120908828,-0.038242681435485704,-0.001898820226397424,8.691960742030785,8.692415966465088,0.00045522443430279225,505,196,18,6,0
