split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
6,random_forest,0.5313035358990632,0.7412388765772207,0.2099353406781574,4.9046303106349605,3.651841020726395,-1.2527892899085655,512,189,18,6,0
6,hist_gb,0.471299319756337,0.7577617342240507,0.2864624144677137,5.004094558088423,3.624781224150069,-1.3793133339383536,512,189,18,6,0
7,ridge,0.7671414159256521,0.7189333260154649,-0.0482080899101872,2.760637678482115,3.342205633107902,0.581567954625787,521,180,18,6,0
7,random_forest,0.7519103132959594,0.7771717416580691,0.0252614283621097,2.88031834043171,2.460694804345417,-0.4196235360862923,521,180,18,6,0
7,hist_gb,0.7423225741390843,0.7828679989290376,0.0405454247899532,2.852915358445405,2.432298358614012,-0.4206169998313926,521,180,18,6,0
8,ridge,0.5123126135130163,0.6377116058531938,0.1253989923401774,4.938217473800528,4.524473112358536,-0.4137443614419913,540,161,18,6,0
8,random_forest,0.4943230159686524,0.6266138391965898,0.1322908232279372,4.818733532425638,4.50991915980181,-0.3088143726238277,540,161,18,6,0
8,hist_gb,0.5008764452906906,0.6339560018687858,0.1330795565780951,4.629272893645179,4.43958554086137,-0.1896873527838085,540,161,18,6,0
9,ridge,0.703438021986357,0.7678394089556213,0.0644013869692643,3.660400373865646,3.446114137585505,-0.2142862362801412,563,138,18,6,0
9,random_forest,0.704852439893993,0.7638727623968617,0.0590203225028687,3.900251895592641,3.1930257592818827,-0.7072261363107586,563,138,18,6,0
9,hist_gb,0.693642548680625,0.786974651593166,0.093332102912541,3.887223208713925,3.1775795732098087,-0.7096436355041167,563,138,18,6,0
10,ridge,0.7390500733238619,0.7628385630214796,0.0237884896976177,3.6242154512260383,3.351274118751198,-0.2729413324748404,417,284,18,6,0
10,random_forest,0.0379070053807407,0.7381176529184696,0.7002106475377289,5.812543127233548,3.4404399786976256,-2.3721031485359223,417,284,18,6,0
10,hist_gb,0.1845824118639125,0.7463490650532851,0.5617666531893726,5.29053355399121,3.401653955434593,-1.8888795985566171,417,284,18,6,0
11,ridge,0.3580236642293859,0.5756677557929477,0.2176440915635618,6.514009407266459,5.449486913892467,-1.0645224933739923,586,115,18,6,0
11,random_forest,0.3493942405508504,0.6455419605513226,0.2961477200004722,6.17731951689241,4.98037963010763,-1.1969398867847802,586,115,18,6,0
11,hist_gb,0.3205912529608543,0.5521532415938233,0.2315619886329689,6.457961855767679,5.385295800967747,-1.0726660547999316,586,115,18,6,0
12,ridge,0.3033532395927995,0.5831324786863559,0.2797792390935564,6.483759667086409,5.3180174116795085,-1.1657422554069008,625,76,18,6,0
12,random_forest,0.0862533967326212,0.5903574480124252,0.504104051279804,7.831565812925027,5.025215821616275,-2.8063499913087524,625,76,18,6,0
12,hist_gb,0.1385720487270209,0.5831484757775343,0.4445764270505133,7.469770090094545,4.994505305355772,-2.4752647847387728,625,76,18,6,0
13,ridge,0.5667526268281096,0.706333082757872,0.1395804559297624,4.296961345403179,3.869502756043453,-0.4274585893597264,525,176,18,6,0
13,random_forest,0.4611121188385788,0.6320045340764862,0.1708924152379073,4.440137595515339,3.9908024235174513,-0.4493351719978879,525,176,18,6,0
13,hist_gb,0.4383419853368894,0.7086939001922854,0.270351914855396,4.556801483125079,3.831090827448317,-0.7257106556767616,525,176,18,6,0
14,ridge,0.6135931863447539,0.6558635947726335,0.0422704084278795,4.062467505235655,3.857699319794345,-0.2047681854413099,522,179,18,6,0
14,random_forest,-0.4482699024770396,0.7980355247733437,1.2463054272503833,5.993684197356383,2.84340457892521,-3.1502796184311728,522,179,18,6,0
14,hist_gb,-0.7404876995719409,0.7134557238435648,1.4539434234155058,6.476121336385251,3.113623259947906,-3.3624980764373453,522,179,18,6,0
15,ridge,0.6184063142778988,0.7068634955761167,0.0884571812982178,4.044490328766073,3.8309518137421024,-0.2135385150239703,473,228,18,6,0
15,random_forest,0.5535164536343207,0.6703482366782597,0.116831783043939,4.102138918738278,3.684732760037222,-0.4174061587010564,473,228,18,6,0
15,hist_gb,0.5451079133946308,0.7517849812175978,0.206677067822967,4.105834707693492,3.403598392584884,-0.7022363151086082,473,228,18,6,0
16,ridge,0.695986532999425,0.698522930127444,0.002536397128019,4.071728844058417,3.866990968406432,-0.2047378756519857,512,189,18,6,0
16,random_forest,0.3479767197379434,0.6989376726070442,0.3509609528691008,5.110805034415876,3.572983295058395,-1.5378217393574816,512,189,18,6,0
16,hist_gb,0.2228269241766447,0.6922615579960347,0.46943463381939,5.232036975282703,3.687580894680616,-1.5444560806020875,512,189,18,6,0
17,ridge,0.7543185630536913,0.7963262298242033,0.042007666770512,3.4888446078499253,3.4093291465710047,-0.0795154612789206,540,161,18,6,0
17,random_forest,0.6506931732150623,0.883649645663208,0.2329564724481457,4.127566530296554,2.57094839078596,-1.5566181395105945,540,161,18,6,0
17,hist_gb,0.6659802916543189,0.84084613047831,0.1748658388239911,3.894219271184778,2.855435207485578,-1.0387840636991998,540,161,18,6,0
18,ridge,0.5631501957643533,0.6711921893917334,0.1080419936273801,4.815594711626251,4.421596325381715,-0.3939983862445357,497,204,18,6,0
18,random_forest,0.548991903627339,0.7102428313210277,0.1612509276936887,4.559814564433622,4.136942786534672,-0.4228717778989495,497,204,18,6,0
18,hist_gb,0.5262905214310512,0.6627073208193098,0.1364167993882586,4.580122648115651,4.30243245960036,-0.2776901885152911,497,204,18,6,0
19,ridge,0.6517966642916142,0.7547741952379255,0.1029775309463113,4.484036175872775,3.8404983741970025,-0.6435378016757722,538,163,18,6,0
19,random_forest,-0.0938245200076535,0.8112054750118278,0.9050299950194812,6.551395579570478,3.1834730972061887,-3.367922482364289,538,163,18,6,0
19,hist_gb,-0.2930442252407199,0.7562774498344613,1.0493216750751813,6.9175812037360185,3.480485284198197,-3.4370959195378217,538,163,18,6,0
20,ridge,0.5766347762527341,0.7049786394541709,0.1283438632014368,4.243868730274732,3.878201510535877,-0.3656672197388553,524,177,18,6,0
20,random_forest,0.4741814110952698,0.6259631577311975,0.1517817466359277,4.524753879876482,3.961156275257306,-0.5635976046191757,524,177,18,6,0
20,hist_gb,0.4960977945482463,0.7102375879913401,0.2141397934430937,4.385595656760496,3.8564212835585914,-0.5291743732019056,524,177,18,6,0
21,ridge,0.6278701486216743,0.7336890027130067,0.1058188540913324,4.165502848366851,3.871069255418013,-0.2944335929488382,578,123,18,6,0
21,random_forest,0.6823308812626916,0.792329665914986,0.1099987846522944,3.954930839054348,3.2644827776987766,-0.6904480613555717,578,123,18,6,0
21,hist_gb,0.7044980695263776,0.8184368092264707,0.113938739700093,3.768780169598448,3.217752907771154,-0.5510272618272936,578,123,18,6,0
22,ridge,0.7265421117520434,0.7071109333776938,-0.0194311783743496,3.5580645967563966,3.4524131444041988,-0.1056514523521978,487,214,18,6,0
22,random_forest,0.5450965066589144,0.7634206244994939,0.2183241178405794,4.071812337749137,3.2288594396485424,-0.8429528981005943,487,214,18,6,0
22,hist_gb,0.4958430862787546,0.7496190611595326,0.2537759748807779,4.186799734420403,3.3536776954717187,-0.8331220389486846,487,214,18,6,0
23,ridge,0.6849374632314336,0.6566419209260749,-0.0282955423053586,3.473985068849087,3.669056718740202,0.1950716498911147,506,195,18,6,0
23,random_forest,0.6653047740850581,0.6412293142544447,-0.0240754598306133,3.583051005147321,3.44796060395387,-0.1350904011934504,506,195,18,6,0
23,hist_gb,0.6445688041380423,0.6721905860385411,0.0276217819004988,3.6652898696085128,3.217633585190117,-0.4476562844183953,506,195,18,6,0
24,ridge,0.7844287902266045,0.7625687370664014,-0.0218600531602031,3.335916170555529,3.499580272127323,0.1636641015717939,489,212,18,6,0
24,random_forest,0.6400984435595738,0.7944642050880817,0.1543657615285079,3.796239436585351,3.110502848486389,-0.6857365880989619,489,212,18,6,0
24,hist_gb,0.5790827488889208,0.7940881916491783,0.2150054427602575,3.8884202973860575,3.132861225065545,-0.7555590723205121,489,212,18,6,0
25,ridge,0.6717406320906459,0.7377491072901894,0.0660084751995434,4.495901965303546,4.02496235554006,-0.4709396097634863,496,205,18,6,0
25,random_forest,0.5240693786193333,0.7922212139904672,0.2681518353711338,4.887551164405788,3.494845159804038,-1.3927060046017492,496,205,18,6,0
25,hist_gb,0.4415749532782889,0.7780846277368422,0.3365096744585533,5.282709073794724,3.5644783361090018,-1.718230737685722,496,205,18,6,0
26,ridge,0.8667721206039811,0.8141187804673513,-0.0526533401366298,2.5016243530710702,3.018470757183323,0.5168464041122527,507,194,18,6,0
