sim,split,outcome,estimator,delta_r2,noise_sd
16,16,complete,hist_gb,-0.0048291152174062,5.839864623879145
16,16,incomplete,ridge,0.0081051362790234,5.839864623879145
16,16,incomplete,random_forest,0.0293657841674315,5.839864623879145
16,16,incomplete,hist_gb,0.0147838261365593,5.839864623879145
17,17,complete,ridge,-0.0252097198059223,5.839864623879145
17,17,complete,random_forest,0.005149232914694,5.839864623879145
17,17,complete,hist_gb,0.0177975200422294,5.839864623879145
17,17,incomplete,ridge,-0.0109017422660249,5.839864623879145
17,17,incomplete,random_forest,0.0171786525367064,5.839864623879145
17,17,incomplete,hist_gb,0.0242648028652403,5.839864623879145
18,18,complete,ridge,-0.0118498894778498,5.839864623879145
18,18,complete,random_forest,-0.0003053479281047,5.839864623879145
18,18,complete,hist_gb,-0.0002744616650875,5.839864623879145
18,18,incomplete,ridge,-0.00235348036294,5.839864623879145
18,18,incomplete,random_forest,0.0066235638267301,5.839864623879145
18,18,incomplete,hist_gb,0.0080304159172295,5.839864623879145
19,19,complete,ridge,-0.0089555075188685,5.839864623879145
19,19,complete,random_forest,0.0586609077127727,5.839864623879145
19,19,complete,hist_gb,0.0685736897462159,5.839864623879145
19,19,incomplete,ridge,0.0184435497964168,5.839864623879145
19,19,incomplete,random_forest,0.0829934405321384,5.839864623879145
19,19,incomplete,hist_gb,0.0762666950414288,5.839864623879145
20,20,complete,ridge,-0.008969415824124,5.839864623879145
20,20,complete,random_forest,0.0643171965348755,5.839864623879145
20,20,complete,hist_gb,0.0329036682245937,5.839864623879145
20,20,incomplete,ridge,0.0097358669850551,5.839864623879145
20,20,incomplete,random_forest,0.0977377832911279,5.839864623879145
20,20,incomplete,hist_gb,0.0312211738925907,5.839864623879145
21,21,complete,ridge,-0.0114649769661344,5.839864623879145
21,21,complete,random_forest,-0.0444534025795896,5.839864623879145
21,21,complete,hist_gb,-0.1033305845685028,5.839864623879145
21,21,incomplete,ridge,0.0048733455428833,5.839864623879145
21,21,incomplete,random_forest,-0.0334609949182127,5.839864623879145
21,21,incomplete,hist_gb,-0.0790392344701501,5.839864623879145
22,22,complete,ridge,-0.0068900981096297,5.839864623879145
22,22,complete,random_forest,-0.0174564363567709,5.839864623879145
22,22,complete,hist_gb,-0.0231728171710889,5.839864623879145
22,22,incomplete,ridge,0.0131311304617901,5.839864623879145
22,22,incomplete,random_forest,0.0261905005948748,5.839864623879145
22,22,incomplete,hist_gb,0.0010633860984,5.839864623879145
23,23,complete,ridge,-0.016681710364589,5.839864623879145
23,23,complete,random_forest,-0.0308686293425664,5.839864623879145
23,23,complete,hist_gb,-0.0147670674473707,5.839864623879145
23,23,incomplete,ridge,-0.008775882299122,5.839864623879145
23,23,incomplete,random_forest,-0.0082847443413351,5.839864623879145
23,23,incomplete,hist_gb,-0.0073846923138289,5.839864623879145
24,24,complete,ridge,0.0219000365868098,5.839864623879145
24,24,complete,random_forest,0.0500718810439901,5.839864623879145
24,24,complete,hist_gb,0.018351954495452,5.839864623879145
24,24,incomplete,ridge,0.0309817623136542,5.839864623879145
24,24,incomplete,random_forest,0.0488241699711499,5.839864623879145
24,24,incomplete,hist_gb,0.0232373990473497,5.839864623879145
25,25,complete,ridge,0.0086217481308432,5.839864623879145
25,25,complete,random_forest,0.0780825649645342,5.839864623879145
25,25,complete,hist_gb,0.0374033321753726,5.839864623879145
25,25,incomplete,ridge,0.0276804646616504,5.839864623879145
25,25,incomplete,random_forest,0.1064344005225532,5.839864623879145
25,25,incomplete,hist_gb,0.0740209634097145,5.839864623879145
26,26,complete,ridge,-0.0136611437231412,5.839864623879145
26,26,complete,random_forest,0.0279253728828026,5.839864623879145
26,26,complete,hist_gb,0.031761868303241,5.839864623879145
26,26,incomplete,ridge,-0.002309865088262,5.839864623879145
26,26,incomplete,random_forest,0.0209474771567985,5.839864623879145
26,26,incomplete,hist_gb,0.0218738937041368,5.839864623879145
27,27,complete,ridge,0.0012375312127141,5.839864623879145
27,27,complete,random_forest,0.019717487500273,5.839864623879145
27,27,complete,hist_gb,-0.016959336667341,5.839864623879145
27,27,incomplete,ridge,0.0222662096508581,5.839864623879145
27,27,incomplete,random_forest,0.0460219625159498,5.839864623879145
27,27,incomplete,hist_gb,-0.0132625443443152,5.839864623879145
28,28,complete,ridge,0.0008797201409985,5.839864623879145
28,28,complete,random_forest,0.0047575170632608,5.839864623879145
28,28,complete,hist_gb,-0.0163996382623796,5.839864623879145
28,28,incomplete,ridge,0.0154286000181453,5.839864623879145
28,28,incomplete,random_forest,0.0612512343979601,5.839864623879145
28,28,incomplete,hist_gb,0.0405328242091306,5.839864623879145
29,29,complete,ridge,-0.0045404267339976,5.839864623879145
29,29,complete,random_forest,0.0481680756472929,5.839864623879145
29,29,complete,hist_gb,0.0081749291869732,5.839864623879145
29,29,incomplete,ridge,0.0052035001521266,5.839864623879145
29,29,incomplete,random_forest,0.0565040696664989,5.839864623879145
29,29,incomplete,hist_gb,0.0059800590201392,5.839864623879145
30,30,complete,ridge,0.0119295408133486,5.839864623879145
30,30,complete,random_forest,0.010257037368336,5.839864623879145
30,30,complete,hist_gb,-0.0265513832185447,5.839864623879145
30,30,incomplete,ridge,0.030582610464801,5.839864623879145
30,30,incomplete,random_forest,0.0367104180940163,5.839864623879145
30,30,incomplete,hist_gb,0.0102983677984909,5.839864623879145
31,31,complete,ridge,0.005413940336164,5.839864623879145
31,31,complete,random_forest,-0.0003468161753144,5.839864623879145
31,31,complete,hist_gb,-0.0351554022868525,5.839864623879145
31,31,incomplete,ridge,0.0175832171033935,5.839864623879145
31,31,incomplete,random_forest,0.0208867475029781,5.839864623879145
31,31,incomplete,hist_gb,0.0070257618246144,5.839864623879145
32,32,complete,ridge,0.0029564054148933,5.839864623879145
32,32,complete,random_forest,0.0250965962597778,5.839864623879145
32,32,complete,hist_gb,-0.0102637554174164,5.839864623879145
32,32,incomplete,ridge,0.0225514776073804,5.839864623879145
32,32,incomplete,random_forest,0.0566329606849109,5.839864623879145
32,32,incomplete,hist_gb,0.0119227924071086,5.839864623879145
33,33,complete,ridge,0.0135760607515229,5.839864623879145
33,33,complete,random_forest,0.0135177646806092,5.839864623879145
33,33,complete,hist_gb,-0.0080611606153551,5.839864623879145
33,33,incomplete,ridge,0.0333327123621357,5.839864623879145
33,33,incomplete,random_forest,0.0499944418705138,5.839864623879145
33,33,incomplete,hist_gb,0.0259080574611627,5.839864623879145
34,34,complete,ridge,0.012083262953079,5.839864623879145
34,34,complete,random_forest,0.0360262301534115,5.839864623879145
34,34,complete,hist_gb,0.0135890547532414,5.839864623879145
34,34,incomplete,ridge,0.0355130488760994,5.839864623879145
34,34,incomplete,random_forest,0.0656669895525954,5.839864623879145
34,34,incomplete,hist_gb,0.0544573044347095,5.839864623879145
35,35,complete,ridge,-0.0042658594081075,5.839864623879145
35,35,complete,random_forest,-0.0134649208782007,5.839864623879145
35,35,complete,hist_gb,-0.0143618304197298,5.839864623879145
35,35,incomplete,ridge,0.0054471813991052,5.839864623879145
35,35,incomplete,random_forest,0.017167625195351,5.839864623879145
35,35,incomplete,hist_gb,0.0079293444979675,5.839864623879145
36,36,complete,ridge,0.0011555980236881,5.839864623879145
