sim,split,outcome,estimator,delta_r2,noise_sd
191,91,complete,random_forest,0.04007841549284363,5.839864623879145
191,91,complete,hist_gb,0.031435135809790626,5.839864623879145
191,91,incomplete,ridge,0.021139515217894034,5.839864623879145
191,91,incomplete,random_forest,0.07906000015171766,5.839864623879145
191,91,incomplete,hist_gb,0.054767449983252336,5.839864623879145
192,92,complete,ridge,0.006960931627889133,5.839864623879145
192,92,complete,random_forest,-0.018553676571738564,5.839864623879145
192,92,complete,hist_gb,-0.03521153212425898,5.839864623879145
192,92,incomplete,ridge,0.024385817087720474,5.839864623879145
192,92,incomplete,random_forest,0.0011593958363673718,5.839864623879145
192,92,incomplete,hist_gb,-0.0243763628654603,5.839864623879145
193,93,complete,ridge,0.00268397457545122,5.839864623879145
193,93,complete,random_forest,0.014075823470222848,5.839864623879145
193,93,complete,hist_gb,-0.00684774632249463,5.839864623879145
193,93,incomplete,ridge,0.017116399811661687,5.839864623879145
193,93,incomplete,random_forest,0.02709675736466255,5.839864623879145
193,93,incomplete,hist_gb,0.017338308789753065,5.839864623879145
194,94,complete,ridge,-0.0056517120804524534,5.839864623879145
194,94,complete,random_forest,0.015112314040670594,5.839864623879145
194,94,complete,hist_gb,-0.023065850849621095,5.839864623879145
194,94,incomplete,ridge,0.0075105968915227805,5.839864623879145
194,94,incomplete,random_forest,0.03237416248631453,5.839864623879145
194,94,incomplete,hist_gb,0.0007107396814656219,5.839864623879145
195,95,complete,ridge,-0.00823911177060499,5.839864623879145
195,95,complete,random_forest,-0.03005241156853733,5.839864623879145
195,95,complete,hist_gb,-0.044329642465058994,5.839864623879145
195,95,incomplete,ridge,-0.003048089410662813,5.839864623879145
195,95,incomplete,random_forest,0.00013068055315501592,5.839864623879145
195,95,incomplete,hist_gb,-0.015824692300079768,5.839864623879145
196,96,complete,ridge,-0.004347808745113313,5.839864623879145
196,96,complete,random_forest,0.06631156904841617,5.839864623879145
196,96,complete,hist_gb,0.00848342536737845,5.839864623879145
196,96,incomplete,ridge,0.02134799658253883,5.839864623879145
196,96,incomplete,random_forest,0.08417085418564063,5.839864623879145
196,96,incomplete,hist_gb,0.02778452461331138,5.839864623879145
197,97,complete,ridge,-0.011944196410189623,5.839864623879145
197,97,complete,random_forest,-0.0287385628812884,5.839864623879145
197,97,complete,hist_gb,-0.06400088920167701,5.839864623879145
197,97,incomplete,ridge,0.0019643338898520657,5.839864623879145
197,97,incomplete,random_forest,-0.005677804384524032,5.839864623879145
197,97,incomplete,hist_gb,-0.029581437146037337,5.839864623879145
198,98,complete,ridge,-0.0355928775119676,5.839864623879145
198,98,complete,random_forest,-0.04882775024126362,5.839864623879145
198,98,complete,hist_gb,-0.058152264660796926,5.839864623879145
198,98,incomplete,ridge,-0.025954428383006323,5.839864623879145
198,98,incomplete,random_forest,-0.022718588873479884,5.839864623879145
198,98,incomplete,hist_gb,-0.02618336975183788,5.839864623879145
199,99,complete,ridge,-0.0035380516764358383,5.839864623879145
199,99,complete,random_forest,0.037419873050339225,5.839864623879145
199,99,complete,hist_gb,-0.008240630054772047,5.839864623879145
199,99,incomplete,ridge,0.012938090138871483,5.839864623879145
199,99,incomplete,random_forest,0.07900732364012186,5.839864623879145
199,99,incomplete,hist_gb,0.036679002951838124,5.839864623879145
