split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
22,ridge,0.5934744822035756,0.7129855871261896,0.119511104922614,4.077521308259409,3.8110246612254177,-0.2664966470339913,513,188,9,3,0
22,random_forest,0.5467521715681276,0.6392918912668246,0.092539719698697,4.280325910944524,3.842737010693212,-0.437588900251312,513,188,9,3,0
22,hist_gb,0.5367242283564604,0.7084328975323323,0.1717086691758719,4.055849366122101,3.680760822138815,-0.3750885439832863,513,188,9,3,0
23,ridge,0.6500555407161299,0.6468226710681452,-0.0032328696479847,3.984724905938059,3.848663285732434,-0.1360616202056253,410,291,9,3,0
23,random_forest,0.6161930927028694,0.6640622710901363,0.0478691783872669,4.079844900479944,3.721779955637925,-0.3580649448420194,410,291,9,3,0
23,hist_gb,0.6777328664158027,0.6181293358569551,-0.0596035305588475,3.710498497104693,4.116777048176658,0.4062785510719657,410,291,9,3,0
24,ridge,0.8389830131360076,0.8190549728120307,-0.0199280403239769,2.767736595254201,2.9827515693753197,0.2150149741211184,451,250,9,3,0
24,random_forest,0.8394566057250499,0.8689314144454725,0.0294748087204226,2.7310709077312394,2.465993316442724,-0.2650775912885157,451,250,9,3,0
24,hist_gb,0.8503803454226524,0.8733892606012559,0.0230089151786034,2.680492709778033,2.4308756901247506,-0.2496170196532823,451,250,9,3,0
25,ridge,0.740391723284908,0.684104426150738,-0.05628729713417,3.461452675596649,3.7202976717067058,0.2588449961100569,538,163,9,3,0
25,random_forest,0.569816849693775,0.6975444708327962,0.1277276211390212,3.793838399430458,3.4255603289863394,-0.3682780704441186,538,163,9,3,0
25,hist_gb,0.5564218302999481,0.6831616593290111,0.126739829029063,3.974445557265026,3.506013691726432,-0.4684318655385939,538,163,9,3,0
26,ridge,0.5060817626101055,0.7361788075384439,0.2300970449283383,5.57765737525934,4.066730516148628,-1.5109268591107128,435,266,9,3,0
26,random_forest,0.5447342901749397,0.7013971659008679,0.1566628757259281,4.852316725107361,4.4573616118206445,-0.3949551132867164,435,266,9,3,0
26,hist_gb,0.6374013207866549,0.7033678913176306,0.0659665705309756,3.980894740972711,4.366200751433445,0.3853060104607344,435,266,9,3,0
27,ridge,0.694267895255588,0.6304043236605872,-0.0638635715950007,3.408537454721123,4.115723941770656,0.7071864870495332,571,130,9,3,0
27,random_forest,0.5721558488799603,0.5692343824630531,-0.0029214664169071,4.354991930334539,4.084273277518306,-0.2707186528162335,571,130,9,3,0
27,hist_gb,0.4945582920282076,0.5667994734815958,0.072241181453388,4.821194231619544,4.113477041581657,-0.7077171900378874,571,130,9,3,0
28,ridge,0.4577465179341606,0.6265705276645617,0.168824009730401,6.323216230347529,5.290771075963586,-1.032445154383943,561,140,9,3,0
28,random_forest,0.2331268684136572,0.4927589904757712,0.2596321220621139,7.908714763914234,5.908835357173986,-1.999879406740248,561,140,9,3,0
28,hist_gb,0.1322966238759571,0.5528908233313901,0.4205941994554329,8.591513734684382,6.064907971721264,-2.5266057629631176,561,140,9,3,0
29,ridge,0.3366827756221542,0.2961625749997759,-0.0405202006223782,5.989707049371695,6.106339261164979,0.1166322117932834,607,94,9,3,0
29,random_forest,-1.488861003881758,0.4170902583637675,1.9059512622455257,11.42308787841281,5.211897347116904,-6.211190531295906,607,94,9,3,0
29,hist_gb,-1.5901853020521082,0.3042203277256352,1.8944056297777436,11.88625014430079,5.936771183174495,-5.949478961126296,607,94,9,3,0
30,ridge,0.3813967288396882,0.5647731100781022,0.1833763812384139,6.583778953081203,5.599664599279716,-0.9841143538014868,561,140,9,3,0
30,random_forest,0.33290548418065,0.4422459607790225,0.1093404765983725,6.856738350833663,6.124310436729432,-0.7324279141042309,561,140,9,3,0
30,hist_gb,0.3711540221901527,0.4110743603074257,0.039920338117273,6.484386825409472,6.251891912156076,-0.2324949132533964,561,140,9,3,0
31,ridge,0.5720474644242346,0.6940644635288791,0.1220169991046444,4.616549121818558,4.251460923184292,-0.3650881986342664,546,155,9,3,0
31,random_forest,0.4815348321861719,0.557302129751905,0.075767297565733,5.203926791413916,4.657342433251877,-0.5465843581620389,546,155,9,3,0
31,hist_gb,0.4685563293184767,0.5742476082444803,0.1056912789260036,5.208445544691075,4.902262047295472,-0.3061834973956028,546,155,9,3,0
32,ridge,0.4465836574274721,0.6149619032383171,0.168378245810845,5.231842660166269,4.684107022596906,-0.5477356375693629,536,165,9,3,0
32,random_forest,0.3563869279904579,0.5601576051661554,0.2037706771756975,5.4570507845063805,4.52844115758743,-0.9286096269189504,536,165,9,3,0
32,hist_gb,0.316644027758482,0.6537855700147255,0.3371415422562435,5.491579858388215,4.178462628410962,-1.3131172299772524,536,165,9,3,0
33,ridge,0.6232256879693592,0.7010849566205569,0.0778592686511977,4.10577701768015,3.81622125872268,-0.2895557589574693,449,252,9,3,0
33,random_forest,0.6000554226315039,0.6550042775601653,0.0549488549286614,3.996100759304532,3.8847966001728937,-0.1113041591316377,449,252,9,3,0
33,hist_gb,0.583759804885359,0.7318288877566685,0.1480690828713096,3.883125052767447,3.5967503603903004,-0.2863746923771466,449,252,9,3,0
34,ridge,0.5324846198532731,0.5478958793543177,0.0154112595010446,4.447583688711809,4.303074048159247,-0.1445096405525623,584,117,9,3,0
34,random_forest,-0.9199698336949748,0.7551434732459723,1.6751133069409472,7.689706052801489,2.996270812562422,-4.693435240239067,584,117,9,3,0
34,hist_gb,-1.1630891047047904,0.6641321303937358,1.8272212350985264,8.093496188436674,3.400847103209978,-4.692649085226696,584,117,9,3,0
35,ridge,0.7052190561530752,0.7708327751028262,0.0656137189497509,3.680528674221368,3.2383201078158663,-0.442208566405502,387,314,9,3,0
35,random_forest,0.6931329635628549,0.7186929216929661,0.0255599581301111,3.826518280573205,3.555130064049407,-0.2713882165237984,387,314,9,3,0
35,hist_gb,0.7749830696139725,0.7073887326672657,-0.0675943369467068,3.211153355852697,3.6791741129131927,0.4680207570604962,387,314,9,3,0
36,ridge,0.5496198283777645,0.6774691333335667,0.1278493049558022,4.804130658102776,4.323960056883206,-0.4801706012195694,546,155,9,3,0
