budget,rank,panel,mask,robust_worstcase_ambiguity_elimination,expected_failure_worstscenario_ambiguity_elimination,robust_pair_separation,expected_failure_worstscenario_pair_separation,robust_uniform_entropy_bits,expected_failure_worstscenario_uniform_entropy_bits,robust_skew_entropy_bits,robust_truth_rooted_elimination,expected_failure_worstscenario_truth_rooted_worsttruth_elimination,expected_failure_worstscenario_truth_rooted_uniformprior_elimination,cost,burden,k
pilot_tight,19,0010 1000 1101,8452,120.0,123.13268000000001,7516.0,7746.851437000001,6.625,6.7260278125,5.946439344671015,110.0,117.09281800000002,122.21719192187501,40,17,3
pilot_tight,20,0001 0100 1110,16402,120.0,123.20548000000001,7516.0,7745.395437000001,6.625,6.7271653125,5.946439344671015,110.0,117.09281800000002,122.20752317187502,40,17,3
pilot_extended,1,0001 0101 1000 1100,4386,124.0,123.85923600000001,7832.0,7823.011904000003,6.75,6.746295875000002,6.246439344671016,120.0,119.37452000000002,123.07286450000004,52,22,4
pilot_extended,2,0010 0110 1000 1100,4420,124.0,123.85923600000001,7832.0,7823.902824000002,6.75,6.746295875000002,6.246439344671016,120.0,119.46357200000001,123.08354468750002,52,22,4
pilot_extended,3,0001 0100 1001 1100,4626,124.0,123.91860400000002,7832.0,7822.715464000002,6.75,6.747223500000004,6.246439344671016,120.0,119.40460400000002,123.06921025000004,52,22,4
pilot_extended,4,0000 0101 1001 1100,4641,124.0,123.85968000000003,7832.0,7823.4111600000015,6.75,6.746307499999998,6.246439344671016,120.0,119.46496000000002,123.077134375,52,22,4
pilot_extended,5,0000 0110 1010 1100,5185,124.0,123.85968000000003,7832.0,7824.6362400000025,6.75,6.746307499999998,6.246439344671016,120.0,119.56828000000002,123.092125,52,22,4
pilot_extended,6,0001 0100 1000 1101,8466,124.0,123.85966443999999,7832.0,7823.409161879999,6.75,6.74630636625,6.246439344671016,120.0,119.46492227999997,123.07709983437506,52,22,4
pilot_extended,7,0000 0101 1000 1101,8481,124.0,123.9180128,7832.0,7822.736406799999,6.75,6.747210199999999,6.246439344671016,120.0,119.40320479999997,123.06951408124999,52,22,4
pilot_extended,8,0000 0100 1001 1101,8721,124.0,123.8593072,7832.0,7823.031134799999,6.75,6.7462929250000006,6.246439344671016,120.0,119.375052,123.07335193124999,52,22,4
pilot_extended,9,0010 0100 1000 1110,16660,124.0,123.85966443999999,7832.0,7824.634107419999,6.75,6.74630636625,6.246439344671016,120.0,119.56823093999999,123.09208881406255,52,22,4
pilot_extended,10,0000 0100 1010 1110,17425,124.0,123.8593072,7832.0,7823.912118799998,6.75,6.7462929250000006,6.246439344671016,120.0,119.46311039999999,123.08391309374998,52,22,4
pilot_extended,11,0011 0110 1001 1100,4680,124.0,123.84360000000004,7832.0,7822.537200000002,6.75,6.745837499999998,6.246439344671016,120.0,119.49840000000002,123.06780000000002,56,24,4
pilot_extended,12,0010 0111 1001 1100,4740,124.0,123.908516,7832.0,7822.455583999998,6.75,6.746856500000002,6.246439344671016,120.0,119.46746,123.0683660625,56,24,4
pilot_extended,13,0001 0111 1010 1100,5250,124.0,123.908516,7832.0,7822.826698,6.75,6.746856500000002,6.246439344671016,120.0,119.483578,123.07316359375001,56,24,4
pilot_extended,14,0001 0110 1011 1100,6210,124.0,123.84404400000001,7832.0,7822.836815999999,6.75,6.745849125000002,6.246439344671016,120.0,119.48367800000001,123.0733810625,56,24,4
pilot_extended,15,0011 0110 1000 1101,8520,124.0,123.90851600000002,7832.0,7822.455583999999,6.75,6.7468565000000025,6.246439344671016,120.0,119.46746000000002,123.06836606250002,56,24,4
pilot_extended,16,0010 0111 1000 1101,8580,124.0,123.84368676000001,7832.0,7822.59261572,6.75,6.745860683750002,6.246439344671016,120.0,119.49939224000005,123.06857521125004,56,24,4
pilot_extended,17,0000 0111 1010 1101,9345,124.0,123.84414880000004,7832.0,7822.891809200001,6.75,6.745873575000001,6.246439344671016,120.0,119.4848796,123.07414255625004,56,24,4
pilot_extended,18,0000 0110 1011 1101,10305,124.0,123.90957120000003,7832.0,7822.8574536000015,6.75,6.746895800000001,6.246439344671016,120.0,119.4851796,123.07378387500005,56,24,4
pilot_extended,19,0011 0101 1000 1110,16680,124.0,123.90851600000002,7832.0,7822.826698000001,6.75,6.7468565000000025,6.246439344671016,120.0,119.48357800000001,123.07316359375002,56,24,4
pilot_extended,20,0011 0100 1001 1110,16920,124.0,123.84404400000003,7832.0,7822.836816000001,6.75,6.745849125000003,6.246439344671016,120.0,119.48367800000003,123.07338106250002,56,24,4
