representation,n_numeric,estimator,fold,plus_sister,accuracy,balanced_accuracy,log_loss
expr32,32,logistic,2,False,0.5185185185185185,0.4963924963924964,0.8747587856243435
expr32,32,logistic,2,True,0.8518518518518519,0.848003848003848,0.5304832617661975
expr32,32,histgb,2,False,0.3333333333333333,0.31409331409331404,1.6904626279225081
expr32,32,histgb,2,True,0.7407407407407407,0.733044733044733,0.7382769583327997
expr32,32,logistic,3,False,0.5769230769230769,0.5892255892255892,0.8550201720757091
expr32,32,logistic,3,True,0.7307692307692307,0.7356902356902357,0.7885957071221852
expr32,32,histgb,3,False,0.46153846153846156,0.48484848484848486,1.1526969802868294
expr32,32,histgb,3,True,0.7307692307692307,0.7356902356902357,0.8951563760952356
expr32,32,logistic,4,False,0.5384615384615384,0.5833333333333334,1.0285535665655259
expr32,32,logistic,4,True,0.8461538461538461,0.8611111111111112,0.411836733126166
expr32,32,histgb,4,False,0.5384615384615384,0.5416666666666666,1.0620903198857972
expr32,32,histgb,4,True,0.8846153846153846,0.888888888888889,0.5329634113896946
expr32,32,logistic,5,False,0.48148148148148145,0.49074074074074076,0.851857095609609
expr32,32,logistic,5,True,0.8148148148148148,0.8240740740740741,0.5572405265462519
expr32,32,histgb,5,False,0.5925925925925926,0.5925925925925926,1.2631472872004492
expr32,32,histgb,5,True,0.8148148148148148,0.8148148148148149,0.8342180391196621
expr32,32,logistic,6,False,0.5555555555555556,0.5747955747955747,0.7749585904028342
expr32,32,logistic,6,True,0.7777777777777778,0.7845117845117845,0.5759483552474663
expr32,32,histgb,6,False,0.6296296296296297,0.6315536315536315,0.8974557767188676
expr32,32,histgb,6,True,0.8148148148148148,0.8215488215488215,0.7014658142331194
expr32,32,logistic,7,False,0.5555555555555556,0.5642135642135643,1.2492021750569517
expr32,32,logistic,7,True,0.7037037037037037,0.6921596921596921,0.8845207028547473
expr32,32,histgb,7,False,0.5185185185185185,0.5271765271765272,1.4510555745970406
expr32,32,histgb,7,True,0.6666666666666666,0.6551226551226551,0.6323780199116633
expr32,32,logistic,8,False,0.5384615384615384,0.5521885521885522,0.8554331523264526
expr32,32,logistic,8,True,0.8461538461538461,0.8468013468013469,0.4566120000572237
expr32,32,histgb,8,False,0.5,0.4966329966329966,1.4657603346655155
expr32,32,histgb,8,True,0.6153846153846154,0.6010101010101009,0.7547524148931721
expr32,32,logistic,9,False,0.5,0.5277777777777778,0.9383955879559092
expr32,32,logistic,9,True,0.7692307692307693,0.8194444444444445,0.6184676691323768
expr32,32,histgb,9,False,0.5384615384615384,0.5555555555555555,1.1712521708634571
expr32,32,histgb,9,True,0.8076923076923077,0.8472222222222222,0.6380916098620669
