cid120,ancestor96,future_growth,future_logfold,n_desc132,g120_volume,g96_volume,g120_x,g96_x,g120_y,g96_y,g120_z,g96_z,g120_neighbors,g96_neighbors,g120_logvolume,g96_logvolume,d_x,d_y,d_z,logvol_ratio_96_120,cur_AG,old_AG,cur_AHP6,old_AHP6,cur_ANT,old_ANT,cur_AP1,old_AP1,cur_AP2,old_AP2,cur_AP3,old_AP3,cur_AS1,old_AS1,cur_ATML1,old_ATML1,cur_CLV3,old_CLV3,cur_CUC1_2_3,old_CUC1_2_3,cur_ETTIN,old_ETTIN,cur_FIL,old_FIL,cur_LFY,old_LFY,cur_MP,old_MP,cur_PHB_PHV,old_PHB_PHV,cur_PI,old_PI,cur_PUCHI,old_PUCHI,cur_REV,old_REV,cur_SEP1,old_SEP1,cur_SEP2,old_SEP2,cur_SEP3,old_SEP3,cur_STM,old_STM,cur_SUP,old_SUP,cur_SVP,old_SVP,cur_WUS,old_WUS
448,310,0.22789915257903975,1.2761605442986077,1,63.11436744129869,99.56420830554596,26.021282938383518,25.22266874029571,67.31311986605796,55.76244795923507,32.14000674969816,24.658944431389926,9.0,8.0,4.144948436835005,4.600802745645312,0.7986141980878081,11.550671906822892,7.481062318308233,-0.4558543088103078,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
449,278,0.051971514636431175,0.46311149496691423,2,122.29480283411317,74.18090781123094,43.80397378995038,36.66771527474928,65.39135461336552,55.28038200995368,32.39930824180232,21.76542535188431,10.0,6.0,4.806434546566248,4.3065068099379085,7.136258515201106,10.110972603411845,10.633882889918013,0.49992773662833867,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
450,270,0.048895344177377696,0.4409269926377756,1,271.0317251999265,127.07439347355222,47.767284554922306,40.45697444692592,10.501916765990723,22.545856011694198,33.98033992846348,21.629799427897968,19.0,13.0,5.602235881186276,4.844772690341463,7.310310107996386,-12.043939245703475,12.350540500565511,0.757463190844813,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
451,235,0.06983506747367497,0.5830332173918071,2,144.3172020982669,155.51334924142367,48.17630357221521,39.13362424929269,52.236451217741404,48.429054010481366,33.48931385888721,19.332724419642858,16.0,13.0,4.972013669334999,5.046731575146356,9.042679322922524,3.8073972072600384,14.15658943924435,-0.07471790581135623,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
452,257,0.12226245494886753,0.8694679167604632,1,163.89160974871496,258.6440366504519,48.27094093993557,39.71195925344719,17.753926389631523,28.231427266805518,33.25361142987911,16.606482472708993,12.0,19.0,5.099205293156458,5.555452740511795,8.55898168648838,-10.477500877173995,16.647128957170114,-0.4562474473553374,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
453,348,0.3564540362831224,1.617368861392327,1,71.09653464863469,184.21236077725735,10.30395437761408,16.091164963028557,20.208739279943728,25.537474483588785,31.911285095860126,29.161171902868812,6.0,11.0,4.264038596502344,5.216089226766591,-5.787210585414478,-5.328735203645056,2.7501131929913143,-0.9520506302642466,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,307,0.1565243233399379,1.020269532630389,2,114.05545362845012,173.95873335474587,32.43699404495277,31.043507639322566,68.76280291598464,55.492403490816876,32.27379009420411,25.46329926022424,9.0,13.0,4.736684765460462,5.158818106458654,1.3934864056302025,13.27039942516776,6.81049083397987,-0.4221333409981927,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
455,300,0.0017403784322933232,0.01953228575653599,2,275.518122281854,104.25449983486506,37.310949785135044,33.347456721714764,9.15947581752809,19.90520640922049,35.712179253707866,25.18304642178174,14.0,10.0,5.618653406037041,4.646835023630975,3.9634930634202803,-10.7457305916924,10.529132831926127,0.9718183824060664,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
456,219,0.08256621635278856,0.6604950817850025,1,102.2536574829975,264.5045791356011,44.01356611989778,36.23860312228136,53.40776019459711,44.58670327230591,32.03189201401956,19.36301780996524,13.0,16.0,4.627456564288045,5.5778585635704285,7.77496299761642,8.821056922291199,12.668874204054323,-0.9504019992823828,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
457,264,0.10344122395931363,0.7758021064366935,1,84.92721100311185,180.90593744173734,50.03975696334411,40.20814164045695,45.88554921248318,42.50063773744738,32.887787253028264,22.001697358789404,11.0,19.0,4.441794548480924,5.197977213541664,9.83161532288716,3.3849114750358,10.88608989423886,-0.756182665060741,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
458,349,0.12600258242888387,0.8870799272956683,2,117.49407219867481,142.75204119927625,14.541422630559465,17.419698205880177,51.768847508512366,44.378044571535455,32.67660858909606,29.72367626223162,11.0,11.0,4.766387882938621,4.961109147553161,-2.8782755753207123,7.390802936976911,2.952932326864442,-0.19472126461454045,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,287,0.08716260844280085,0.687050078796285,1,144.60295987418584,248.84550682187435,23.605461470015705,24.03140464245743,42.10991469017193,37.91291256331878,32.644744572426056,25.99747788864629,16.0,19.0,4.973991778907879,5.5168322493725155,-0.42594317244172686,4.19700212685315,6.647266683779765,-0.5428404704646367,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
460,246,0.10669207273176082,0.7926199684472703,3,272.6319687450726,148.71474845041064,37.78288818958094,30.81587703217977,51.815598604727136,44.88272989264301,34.47407616986933,20.45159201342743,18.0,11.0,5.608122785845985,5.002030031132984,6.967011157401167,6.932868712084122,14.022484156441898,0.6060927547130007,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
461,280,0.0593184191010931,0.5141852238717581,3,91.58536718202338,121.3345911663855,51.12483581416336,42.274002421218306,55.354183283775356,48.64021553586191,32.581907771606865,22.32164884319504,11.0,9.0,4.517271511998044,4.7985519456708206,8.850833392945056,6.713967747913443,10.260258928411826,-0.281280433672777,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
462,303,0.06588415215422243,0.5577208838798202,2,86.00356529240656,167.5130653916816,17.08734325818177,18.978716379750896,56.924537614409125,49.833760416417164,33.240316851367815,25.762422706836325,8.0,9.0,4.454388752282643,5.121061350561495,-1.8913731215691243,7.090777197991962,7.47789414453149,-0.6666725982788514,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
463,282,0.06326464754283148,0.5405781968359151,2,80.46938969877623,99.81497636750956,53.488149402814535,44.133395383168036,45.28325694140625,44.05350218167861,32.62665123046875,23.16912846264074,11.0,11.0,4.387876859921207,4.603318235861673,9.3547540196465,1.2297547597276406,9.457522767828014,-0.21544137594046667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
